Id,Type,Race,Sex,Data
638,2,5,0,5
639,2,5,0,6
640,2,5,0,7
641,2,5,0,8
642,2,5,0,9
643,2,5,0,10
644,2,5,0,11
645,2,5,0,12
646,2,5,0,13
647,2,5,0,14
648,2,5,0,15
649,2,5,0,16
687,0,5,1,0
688,0,5,1,1
689,0,5,1,2
690,0,5,1,3
691,0,5,1,4
692,0,5,1,5
693,0,5,1,6
694,0,5,1,7
695,0,5,1,8
696,0,5,1,9
707,2,5,1,0
708,2,5,1,1
709,2,5,1,2
710,2,5,1,3
711,2,5,1,4
712,2,5,1,5
713,2,5,1,6
714,2,5,1,7
743,0,6,0,0
744,0,6,0,1
745,0,6,0,2
746,0,6,0,3
747,0,6,0,4
748,0,6,0,5
749,0,6,0,6
750,0,6,0,7
754,2,6,0,0
755,2,6,0,1
756,2,6,0,2
757,2,6,0,3
758,2,6,0,4
759,2,6,0,5
760,2,6,0,6
779,0,2,0,0
780,0,2,0,1
781,0,2,0,2
782,0,2,0,3
783,0,2,0,4
784,0,2,0,5
785,0,2,0,6
794,2,2,0,0
795,2,2,0,1
796,2,2,0,2
797,2,2,0,3
798,2,2,0,4
799,2,2,0,5
800,2,2,0,6
801,2,2,0,7
802,2,2,0,8
803,2,2,0,9
804,2,2,0,10
831,0,6,1,0
832,0,6,1,1
833,0,6,1,2
834,0,6,1,3
835,0,6,1,4
836,0,6,1,5
837,0,6,1,6
841,2,6,1,0
842,2,6,1,1
843,2,6,1,2
844,2,6,1,3
845,2,6,1,4
861,0,4,1,0
862,0,4,1,1
863,0,4,1,2
864,0,4,1,3
865,0,4,1,4
866,0,4,1,5
867,0,4,1,6
876,2,4,1,0
877,2,4,1,1
878,2,4,1,2
879,2,4,1,3
880,2,4,1,4
881,2,4,1,5
882,2,4,1,6
883,2,4,1,7
884,2,4,1,8
885,2,4,1,9
911,0,8,0,0
912,0,8,0,1
913,0,8,0,2
914,0,8,0,3
915,0,8,0,4
916,0,8,0,5
927,2,8,0,0
928,2,8,0,1
929,2,8,0,2
930,2,8,0,3
931,2,8,0,4
932,2,8,0,5
933,2,8,0,6
934,2,8,0,7
935,2,8,0,8
936,2,8,0,9
937,2,8,0,10
965,0,8,1,0
966,0,8,1,1
967,0,8,1,2
968,0,8,1,3
969,0,8,1,4
980,2,8,1,0
981,2,8,1,1
982,2,8,1,2
983,2,8,1,3
984,2,8,1,4
985,2,8,1,5
1012,0,1,0,12
1013,0,1,0,13
1014,0,1,0,14
1015,0,1,0,15
1016,0,1,0,16
1017,0,10,1,14
1018,0,10,1,15
1019,0,10,1,16
1020,0,10,1,17
1021,0,10,1,18
1022,2,10,1,0
1029,0,10,0,11
1030,0,10,0,12
1031,0,10,0,13
1032,0,10,0,14
1033,0,10,0,15
1034,0,11,0,9
1035,0,11,0,10
1036,0,11,0,11
1037,0,11,0,12
1038,0,11,0,13
1039,0,11,1,11
1040,0,11,1,12
1041,0,11,1,13
1042,0,11,1,14
1043,0,11,1,15
1044,0,3,0,11
1045,0,3,0,12
1046,0,3,0,13
1047,0,3,0,14
1048,0,3,0,15
1049,0,3,1,14
1050,0,3,1,15
1051,0,3,1,16
1052,0,3,1,17
1053,0,3,1,18
1054,0,7,0,7
1055,0,7,0,8
1056,0,7,0,9
1057,0,7,0,10
1058,0,7,0,11
1059,0,7,1,7
1060,0,7,1,8
1061,0,7,1,9
1062,0,7,1,10
1063,0,7,1,11
1064,0,1,1,19
1065,0,1,1,20
1066,0,1,1,21
1067,0,1,1,22
1068,0,1,1,23
1069,0,4,0,7
1070,0,4,0,8
1071,0,4,0,9
1072,0,4,0,10
1073,0,4,0,11
1074,0,4,1,7
1075,0,4,1,8
1076,0,4,1,9
1077,0,4,1,10
1078,0,4,1,11
1079,0,2,0,7
1080,0,2,0,8
1081,0,2,0,9
1082,0,2,0,10
1083,0,2,0,11
1084,0,2,1,8
1085,0,2,1,9
1086,0,2,1,10
1087,0,2,1,11
1088,0,6,0,8
1089,0,6,0,9
1090,0,6,0,10
1091,0,6,0,11
1092,0,6,0,12
1093,0,6,1,7
1094,0,6,1,8
1095,0,6,1,9
1096,0,6,1,10
1097,0,6,1,11
1098,0,8,0,6
1099,0,8,0,7
1100,0,8,0,8
1101,0,8,0,9
1102,0,8,1,5
1103,0,8,1,6
1104,0,8,1,7
1105,0,8,1,8
1106,0,8,1,9
1107,0,5,0,10
1108,0,5,0,11
1109,0,5,0,12
1110,0,5,0,13
1111,0,5,0,14
1112,0,5,1,10
1113,0,5,1,11
1114,0,5,1,12
1115,0,5,1,13
1116,0,5,1,14
1117,0,2,1,12
1120,3,6,0,0
1121,3,6,0,1
1122,3,6,0,2
1123,3,6,0,3
1124,3,6,0,4
1125,3,6,0,5
1126,3,6,0,6
1127,3,6,0,7
1128,3,6,0,8
1129,3,6,0,9
1130,3,6,0,10
1131,3,6,0,11
1132,3,6,0,12
1133,3,6,0,13
1134,3,6,0,14
1135,3,6,0,15
1136,3,6,0,16
1137,3,6,0,17
1138,3,6,0,18
1139,3,6,1,0
1140,3,6,1,1
1141,3,6,1,2
1142,3,6,1,3
1143,3,6,1,4
1144,3,6,1,5
1145,3,6,1,6
1146,3,6,1,7
1147,3,6,1,8
1148,3,6,1,9
1149,3,6,1,10
