ID,ContinentID,X,Y,Z
58,1,3374.71,996.97,5.19
59,30,574.21,-46.65,37.61
60,30,-1335.44,-319.69,90.66
61,1,2302.39,-2524.55,104.4
62,1,7793.61,-2403.47,489.32
63,1,7787.72,-2404.1,489.56
64,1,2721.99,-3880.64,100.87
65,1,6205.88,-1949.63,571.29
66,0,931.32,-1430.11,64.67
67,0,2271.09,-5340.8,87.11
68,0,2327.41,-5286.89,81.78
69,1,7470.39,-2123.38,492.34
70,0,-7504.03,-2187.54,165.53
71,0,-8364.61,-2738.35,185.46
72,1,-6811.39,836.74,49.81
73,1,-6761.83,772.03,88.91
74,0,-6552.59,-1168.27,309.31
75,0,-6554.93,-1100.05,309.57
76,0,-635.26,-4720.5,5.38
77,1,-2380.67,-1882.67,95.85
78,0,3133.31,-3399.93,139.53
79,1,-6113.82,-1142.7,-187.63
80,1,-894.59,-3773.01,11.48
82,530,9375.24,-7165.89,9.03
83,530,7594.47,-6784.29,86.46
84,0,2998.71,-3050.1,117.19
85,0,3109.31,-4285.13,109.45
86,0,2499.23,-4742.85,93.5
87,0,1857.56,-3658.47,143.73
88,530,-4284.01,-11194.74,13.01
89,0,0,0,0
90,9770568,0,0,0
91,530,-3996.01,-11892.97,0.22
92,530,-3679.31,-11413.04,310.57
93,530,-1933.27,-11954.61,57.19
94,530,-4054.89,-11793.35,9.05
95,530,-146.29,5532.56,30.89
96,530,-145.23,5533.03,30.95
97,530,-3968.37,-11929.15,-1.22
98,530,-2662.3,-12144.6,16.91
99,530,228.5,2633.57,87.67
100,530,-673.42,2717.27,94.18
101,530,199.16,4241.56,121.75
102,530,-587.41,4101.01,91.37
103,530,-1810.16,8032.11,-25.95
104,530,-1824.18,8049.29,-26.85
105,530,-1513.4,8140.93,-19.6
106,530,-1511.26,8149.71,-18.58
107,530,-1387.07,7782.41,-11.47
108,530,-1376.72,7771.17,-10.08
109,530,-1656.6,7724.91,-15.59
110,530,-1658.9,7724.71,-15.79
111,530,9335.83,-7883.07,74.91
112,530,9335.67,-7809.71,136.57
113,530,-1544.36,8792.07,35.22
114,530,-1544.36,8792.09,35.22
115,560,2384.73,1169.38,66.86
116,560,2014.65,239.65,68.52
117,530,213.75,6063.75,148.31
118,530,219.45,7816,22.72
119,530,-2729,7305.3,88.64
120,530,-1261.09,7133.39,57.34
121,530,-2987.24,3872.78,9.13
122,530,3082.31,3596.11,144.02
123,530,-3018.62,2557.09,79.09
124,530,-3982.07,2156.47,105.15
125,530,2183.65,6794.46,183.28
126,530,2446.37,6020.93,154.34
127,530,-2567.33,4423.83,39.33
128,530,-1837.23,5301.9,-12.43
129,530,-327.35,1020.49,54.25
130,530,-178.09,1026.72,54.19
131,530,-25.51,2133.45,112.6
132,530,-25.6,2133.4,112.58
133,530,-673.73,1855.29,68.97
134,530,-673.75,1855.32,68.96
135,530,-27.65,2126.57,111.85
136,530,-27.52,2126.5,111.88
137,530,298.5,1501.26,-14.28
138,530,298.59,1501.13,-14.25
139,530,4157.58,2959.69,352.08
140,530,-3065.6,749.42,-10.1
141,530,-1316.84,2358.62,88.96
142,530,-29.16,2125.72,111.47
143,1,-8360.73,-4327.73,-208.33
144,1,-8162.01,-4796.23,35.78
145,530,3079.01,3599.08,144.07
146,530,2235.34,2793.77,128.03
147,530,509.17,1988.69,109.62
148,530,298.46,1501.18,-14.28
149,530,276.2,1486.91,-15.1
150,530,2974.95,1848.24,141.28
151,530,91.67,5214.92,23.1
152,530,4262.39,2136.92,139.44
153,530,4266.7,2133.38,138.82
154,530,20047.88,5200.69,19742.78
155,530,4267.14,2133.03,138.77
156,530,1857.35,5531.87,277.01
157,530,2277.74,5983.35,142.6
158,530,2278.56,5983.71,142.57
159,530,-4073.17,1123.61,42.47
160,530,2976.01,5501.13,143.67
161,654135852,0,0,0
162,530,-4100.27,950.38,22.11
163,530,2028.79,4705.27,150.51
164,530,966.67,7399.16,29.14
165,3,0,0,0
166,1,3978.74,-1316.42,250.11
167,1,3000.25,-3202.41,189.77
168,0,-9441.18,65.05,56.18
169,530,-5224.53,631.85,48.36
170,530,-5185.71,172.95,-11.57
171,530,-3364.68,3650.18,284.78
172,530,2531.1,7322.09,373.64
173,530,-5141.36,620.11,82.7
174,530,-1636.09,5275.87,-41.1
175,571,784.89,-5066.18,-7.88
176,571,245.36,-3309.2,0.91
177,571,-147.47,-3587.36,0.34
178,3,0,0,0
179,1,-4566.23,-3226.05,34.7
180,1,-3822.66,-4511.33,10.84
181,1,-3822.71,-4509.65,10.98
182,571,1415.89,-3082.49,121.91
183,571,567.41,-5010.97,11.5
184,571,2468.77,-5029.82,283.49
185,571,1342.84,-3287.9,174.45
186,571,1911.82,-6179.07,24.61
187,571,1652.83,-6512.11,18.48
188,571,1912.78,-6178.81,24.64
189,571,1913.9,-6177.87,24.62
190,571,401.12,-4544.3,244.54
191,571,1918.6,-6175.89,24.41
192,571,2652.89,-4392.71,283.32
193,571,1341.44,-3288.57,174.45
194,571,1341.08,-3288.37,174.45
195,0,-11343.97,-216.83,75.22
196,451,9283.1,-9749.81,62.16
197,0,-9148.62,243.04,87.39
198,451,9405.83,-9882.69,0
199,571,638.34,-5074.57,-0.23
200,571,483.92,-5913.1,308.61
201,451,15992.44,-16371.94,76.73
202,451,15991.68,-16371.95,76.7
203,571,3505.3,1990.83,65.1
204,12,0,0,0
205,530,6789.79,-7747.58,126.51
206,1,-4348.01,2427.29,6.64
207,571,15.32,-4043.79,0.1
208,571,15.32,-4043.71,0.1
209,530,13008.38,-6911.81,9.58
210,530,13008.51,-6912.2,9.58
211,530,13007.5,-6911.81,9.58
212,530,13188.04,-7047.04,4.79
213,530,13012.7,-6908.37,9.58
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,571,690.99,-3819.6,249.06
219,571,607.96,-2906.17,38.54
220,530,3051.76,3690.41,142.63
221,571,3465.66,5901.76,144.17
222,571,3213.74,6084.72,138
223,0,0,0,0
224,0,0,0,0
225,571,3574.06,5971.04,136.11
226,571,3575.44,6661.64,195.19
227,451,16625.63,16862.9,46.98
228,0,0,0,0
229,0,0,0,0
230,571,2690.26,889.81,4.61
231,571,2690.33,897.63,4.62
232,571,2774.69,6258.14,83.68
233,571,3443.52,4103.95,16.01
234,571,4130.62,7372.31,534.11
235,571,3575.56,6651.84,195.21
236,571,4026.95,7085.54,165.54
237,571,3929.4,6590.74,170.34
238,0,0,0,0
239,571,3109,3819.54,23.24
240,571,3614.3,3670.12,35.78
241,0,0,0,0
242,571,2739.73,882.37,6.64
243,571,2738.47,882.46,6.5
244,571,3712.43,-694.86,215.57
245,571,2269.54,5173.69,11.1
246,571,4127.23,5313.07,28.67
247,571,3504.13,1992.03,64.96
248,571,2108.11,-2970.62,148.58
249,571,3876.34,-4520.08,217.32
250,571,3258.9,-2263.09,114.37
251,571,4612.21,1406.6,195.06
252,571,3653.21,247.58,52.26
253,571,3446.35,-2754.1,199.4
254,571,3242.96,-666.16,166.79
255,571,4584.98,-4254.69,182.21
256,571,3865.87,1525.63,90.04
257,571,2920.29,6242.85,208.8
258,571,3449.51,4089.52,16.64
259,571,4474.79,5712.13,81.28
260,571,4946.67,1165.94,239.57
261,571,3711.31,-698.18,215.57
262,571,4267.39,-3050.93,318.16
263,571,2663.67,-2181.45,3.43
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,571,4272.09,-3248.26,324.93
268,571,2664.22,-2344.63,21.7
269,571,1341.67,-3288.74,174.45
270,571,3712.23,-693.85,215.42
271,571,4311.25,-2956.61,317.31
272,571,2883.75,-1673.71,6.48
273,571,3547.22,381.49,52.26
274,571,3590.38,277.54,340.85
275,571,3587.65,279.21,340.83
276,571,3511.48,373.93,52.26
277,571,3587.55,279.14,340.83
278,571,3543.24,307.04,116.73
279,571,3587.04,277.14,340.82
280,571,3545.62,273.6,116.84
281,571,3512.22,373.57,52.26
282,571,3545.61,273.6,116.84
283,571,3543.37,307.06,116.73
284,571,3548.15,381.01,52.26
285,0,0,0,0
286,571,3503.76,1990.11,65.12
287,0,0,0,0
288,571,1341.23,-3288.91,174.46
289,571,3587.84,5973.3,136.22
290,571,5450.3,-2606.27,306.91
291,571,5028.69,-3020.38,292.42
292,0,-8338.36,1107.01,57.26
293,0,-8341.09,1101.85,57.26
294,571,2792.45,908.96,22.33
295,571,785.27,-2887.71,5.89
296,571,2919.19,4046.09,1.85
297,571,5557.57,5802.05,-66.09
298,571,5505.35,4747.79,-194.43
299,0,0,0,0
300,0,0,0,0
301,571,4125.51,5310.99,28.68
302,571,4171.83,4335.63,36.23
303,571,5100.81,2185.65,365.62
304,571,5521.63,-2672.25,303.95
305,571,5218.9,-1302.22,242.16
306,571,5190.11,-2206.46,239.4
307,571,5777.4,-3594.94,386.69
308,571,5506.23,4748.1,-194.43
309,571,5596.1,5824.37,-67.73
310,571,5813.89,449.13,658.75
311,571,3877.91,-4519.59,217.29
312,571,5189.67,-2206.85,239.4
313,571,4584.01,-4250.38,182.17
314,571,5779.13,-3596.42,386.85
315,0,2352.37,-5666.91,382.24
316,0,0,0,0
317,609,2431,-5730.21,157.94
318,0,0,0,0
319,609,2356.51,-5664.18,382.25
320,571,6186.75,-1052.91,410.2
321,571,6667.04,-258.7,961.9
322,571,7308.04,-2607.6,814.8
323,571,7857.3,-735.02,1177.15
324,571,7793.85,-2810.09,1217.03
325,571,7427.32,4224.16,314.11
326,571,8864.74,-1324.33,1032.82
327,571,8472.46,-335.95,906.48
328,571,7501.65,1140.28,682.23
329,571,7561.81,1724.59,683.56
330,571,7489.64,1477.72,328.64
331,571,6897.65,-4118.23,467.35
332,571,5024.99,3685.55,362.94
333,571,8408.09,2702.66,655.11
334,571,6164.49,-61.31,388.18
335,571,6402.06,467.86,511.29
336,571,5035.65,-519.96,225.41
337,571,5590.49,-693.23,206.63
340,571,8475.79,891.2,547.29
341,603,-749.2,-99.99,429.68
342,603,119.96,-71.62,409.8
348,0,0,0,0
352,0,0,0,0
353,0,0,0,0
357,0,0,0,0
358,571,8498.32,1066.32,552.19
359,571,8501.53,1064.02,552.19
375,0,0,0,0
376,0,0,0,0
377,0,0,0,0
379,631,-200.59,1437.53,-452.27
380,0,0,0,0
381,0,0,0,0
382,0,0,0,0
383,0,1942.54,-2559.18,61.11
384,0,1726.86,-740.76,59.03
392,0,-5448.5,-665.08,392.95
393,0,-5447.85,-665.59,393.16
394,0,-5451.48,-667.73,393.01
395,0,-5434.71,523.09,388.3
404,1,-839.64,-4985.35,14.65
405,1,-838.01,-4986.28,14.75
438,1,-838.85,-4985.99,14.71
439,1,284.38,-4762.36,12.56
440,1,-848.2,-5339.46,3.07
