ID,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAura,EffectAuraPeriod,EffectBasePoints,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectDieSides,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
678925,0,1,35,0,0,14,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,463
678926,0,2,35,0,0,34,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,463
678929,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,483
678931,0,0,8,0.5,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
678932,0,0,6,0,0,8,3000,8,0.20700000226,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,139
678933,0,0,2,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,142
678934,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,446
678935,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,447
678936,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,448
678938,0,0,5,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9,556
678944,0,0,6,0,0,8,3000,24,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,136
678945,0,0,6,0,0,26,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,512
678947,0,0,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,25,47,514
678948,0,0,28,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,15630,61,0,0,0,0,0,0,17,0,518
678953,0,1,6,0,0,87,0,-51,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,127,0,0,0,0,0,0,0,1,0,498
678956,0,0,6,0,0,99,0,-24,0,1,0,1,0,0,0,0,-4.40000009537,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,67
678958,0,0,77,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,18,8,124
678959,0,0,28,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4277,65,12,0,0,0,0,0,32,0,126
678960,0,1,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,126
678963,0,0,6,0,0,105,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,57,0,130
678964,0,0,6,0,0,19,0,999,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,132
678971,0,0,2,0,0,0,0,4,1.29999995232,1,0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,68
678972,0,0,6,0,0,36,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,0,0,1,0,71
678973,0,0,6,0,0,56,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,620,0,0,0,0,0,0,0,6,0,228
678974,0,1,6,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,228
678975,0,2,6,1,0,79,0,-67,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,0,228
678976,0,0,6,0,0,138,0,-36,0,1,0,1,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,246
678977,0,1,6,0,0,33,0,-151,0,1,0,1,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,246
678979,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,359,0,0,0,0,0,0,0,1,0,581
678981,0,0,2,0,0,0,0,12,0.1230000034,1,0,5,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,585
678982,0,0,6,0,0,103,0,-90000001,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,586
678983,0,0,24,0,0,0,0,1,0,1,0,1,5349,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,587
678984,0,0,6,0,0,26,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,113
678985,0,0,56,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,416,0,0,0,0,0,0,0,32,0,688
678986,0,0,6,0,0,99,0,-32,0,1,0,1,0,0,0,0,-1,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,22,15,99
678987,0,0,1,1,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7
678988,0,0,27,0,0,4,0,24,0.11900000274,1,0,1,0,0,0,0,0.10000000149,0,0,1,0,0,0,1,0,0,14,14,0,0,0,0,28,0,10
678989,0,0,2,0,0,0,0,999,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,11
678990,0,0,6,1,0,3,1000,1,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
678991,0,0,6,0,0,6,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,260
678992,0,0,28,1000,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,48,61,0,0,0,0,0,0,0,0,261
678994,0,0,6,0,0,15,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,467
678995,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,305,0,0,0,0,0,0,0,1,0,468
678997,0,0,6,0,0,230,0,1079,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,56,0,469
679000,0,0,6,0,0,33,0,-41,0,1,0,1,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,116
679001,0,1,2,0,0,0,0,17,0.17200000584,1,0,3,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,116
679002,0,0,5,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,20,9,3
679003,0,0,5,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,4
679004,0,0,6,1,0,58,0,199,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13
679005,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,34
679006,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,35
679007,0,0,6,0,0,13,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,43
679009,0,0,6,1,0,31,0,299,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,47
679010,0,0,10,1,0,0,0,999,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,49
679011,0,0,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,50
679015,0,0,6,0,0,3,3000,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,553
679017,0,0,28,1000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,852,61,0,0,0,0,0,0,18,0,555
679019,0,0,6,1,0,8,1000,2,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22
679020,0,0,2,0,0,0,0,13,0.1230000034,1,0,9,0,0,0,0,0.60000002384,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,133
679021,0,1,6,0,0,3,2000,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,133
679022,0,0,2,0,0,0,0,30,0.27099999785,1,0,15,0,0,0,0,0.80000001192,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,143
679023,0,1,6,0,0,3,2000,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,143
679024,0,0,2,0,0,0,0,52,0.5,1,0,21,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,145
679025,0,1,6,0,0,3,2000,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,145
679026,0,0,6,1,0,84,0,16,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,433
679028,0,0,6,0,0,104,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,546
679029,0,0,10,0,0,0,0,128,0.93999999762,0.20000000298,0,27,0,0,0,0,1.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,45,0,547
679030,0,0,2,0,0,0,0,44,0.56099998951,1,0,9,0,0,0,0,0.69999998808,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,548
679033,0,0,10,1,0,0,0,40,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24
679034,0,0,6,1,0,12,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,25
679035,0,0,11,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26
679036,0,0,12,1,0,0,0,0,1,1,0,6,0,0,0,3.14159011841,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,17,0,27
679037,0,0,6,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,101
679038,0,1,2,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,101
679039,0,2,80,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,101
679040,0,0,21,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,90,0,0,0,0,0,0,0,0,0,108
679041,0,0,33,0,0,0,0,14,0,1,0,1,0,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,26,0,491
679043,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,356,0,0,0,0,0,0,0,1,0,578
679045,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4270,0,0,0,0,0,0,0,1,0,579
679047,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,358,0,0,0,0,0,0,0,1,0,580
679050,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6940,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,611
679053,0,0,10,0,0,0,0,49,0.4810000062,1,0,11,0,0,0,0,0.80000001192,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,635
679058,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,199
679059,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,199
679060,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200
679061,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200
679062,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201
679063,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201
679064,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202
679065,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202
679066,0,0,35,0,0,13,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,464
679067,0,1,35,0,0,14,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,464
679068,0,2,35,0,0,35,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,464
679069,0,0,6,0,0,79,0,-51,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,127,0,0,0,0,0,0,0,1,0,642
679070,0,1,6,0,0,39,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,127,0,0,0,0,0,0,0,1,0,642
679071,0,2,6,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,126,0,0,0,0,0,0,0,1,0,642
679075,0,0,1,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,5
679076,0,0,6,0,0,138,0,-21,0,1,0,1,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,89
679077,0,1,6,0,0,140,0,-21,0,1,0,1,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,89
679078,0,2,6,0,0,33,0,-41,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,89
679080,0,0,65,0,0,22,0,54,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,23,0,0,0,0,0,1,0,465
679085,0,0,6,0,0,3,3000,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,589
679090,0,0,31,0,0,0,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,96
679091,0,1,6,0,0,3,2000,1247,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,96
679092,0,0,121,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,53
679093,0,1,31,0,0,0,0,149,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,53
679094,0,2,80,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,53
679096,0,0,6,0,0,29,0,3,0,1,0,1,0,0,0,0,0,3230,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2374
679099,0,0,6,0,0,3,60000,3199,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,603
679101,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110
679102,0,0,6,0,0,22,0,19,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,111
679103,0,0,6,1,0,28,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,112
679110,0,0,6,1,0,53,1000,9,0.11100000143,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,689
679112,0,0,2,0,0,0,0,24,0.27099999785,1,0,7,0,0,0,0,0.60000002384,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,591
679113,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,196
679114,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,196
679115,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197
679116,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197
679117,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,198
679118,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,198
679121,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,443
679122,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,444
679123,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,445
679124,0,0,6,0,0,26,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,339
679125,0,1,6,0,0,3,3000,4,0.0549999997,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,339
679130,0,0,28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,31897,1141,0,0,0,0,0,0,87,0,724
679131,0,0,10,0,0,0,0,300,0.52600002289,1,0,21,0,0,0,0,1.29999995232,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,21,37,596
679132,0,0,6,0,0,41,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,21,0,550
679133,0,0,6,0,0,23,3000,-1,0,1,0,1,0,0,0,0,0,10872,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,552
679134,0,1,38,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,21,0,552
679135,0,0,6,0,0,3,3000,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,594
679139,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,203
679140,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,204
679141,0,0,6,0,0,29,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18,0,0,0,0,0,22,30,31817
679142,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,284,0,0,0,0,0,0,0,1,0,458
679144,0,0,9,0.5,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
679146,0,0,10,1,0,0,0,14,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18
679147,0,0,58,0,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,75
679149,0,0,6,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,77
679150,0,1,6,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,127,0,0,0,0,0,0,0,1,0,77
679151,0,0,30,0,0,0,0,139,0,1,0,41,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,437
679152,0,0,6,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,408
679153,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,408
679154,0,2,6,0,0,87,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,127,0,0,0,0,0,0,0,6,0,408
679158,0,0,2,0,0,0,0,190,0.57099997997,0.69999998808,3,27,0,0,0,0,1.89999997616,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,421
679159,0,0,10,0,0,0,0,95,0.79600000381,1,0,21,0,0,0,0,1.10000002384,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,639
679162,0,0,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,522
679163,0,0,38,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,21,0,526
679164,0,0,6,0,0,29,0,-5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,6,0,457
